678900     PF        2345    54565656        1    2021-03-12   23455    3120000,00     01
678900     PF        2345    54565656        1    2021-03-14   00500    2000000,00     01
678900     PF        2345    54565656        1    2021-03-15   23455    3120000,00     01
678900     PF        2345    54565656        1    2021-03-16   23455    3120000,00     01
678900     PF        2345    54565656        1    2021-03-31   23455    3120000,00     01
678900     PF        2345    54565656        1    2021-03-31   23455    3120000,00     01

568990     CC        5678    54568852        2    2021-02-14   34565    5690000,00     02
568990     CC        5678    54568852        2    2021-02-15   00800    3250000,00     02
568990     CC        5678    54568852        2    2021-03-01   34565    1470000,00     02
568990     CC        5678    54568852        2    2021-03-02   34565    1470000,00     02
568990     CC        5678    54568852        2    2021-03-03   34565    1470000,00     02
568990     CC        5678    54568852        2    2021-03-14   34565    1470000,00     02

741852     CA        8956    54568798        2    2021-04-14   34565    1470000,00     03
741852     CA        8956    54568798        2    2021-04-15   34565    1470000,00     03
741852     CA        8956    54568798        2    2021-04-16   34565    1470000,00     03
741852     CA        8956    54568798        2    2021-04-17   34565    1470000,00     03
741852     CA        8956    54568798        2    2021-05-01   34565    1470000,00     03
741852     CA        8956    54568798        2    2021-05-02   34565    1470000,00     03

852963     CC        7894    54568798        2    2021-02-14   34565    1470000,00     04
852963     CC        7894    54568798        2    2021-02-16   34565    1460000,00     04
852963     CC        7894    54568798        2    2021-02-17   34565    1450000,00     04
852963     CC        7894    54568798        2    2021-03-05   34565    14670000,00     04
852963     CC        7894    54568798        2    2021-03-06   34565    1570000,00     04
852963     CC        7894    54568798        2    2021-03-06   34565    1870000,00     04

